Дата указания,Номер указания,Тип ограничения,Дата начала,Страна происхождения,Территория страны,Продукция (транзит)
44259.65577546296,ФС-АРэ-7/3698-3,Введение ограничений,44259,Швеция,Эстергётланд,живая птица
44259.6597800926,ФС-АРэ-7/3699-3,Введение ограничений,44259,Италия,Фриули-Венеция-Джулия,живая птица
44267.6665162037,ФС-АРэ-7/3710-3,Введение ограничений,44267,Чешская Республика,Моравско-Силезский,живая птица
44267.67458333333,ФС-АРэ-7/3711-3,Введение ограничений,44267,Швеция,Халланд,живая птица
44267.75427083333,ФС-АРэ-7/3712-3,Введение ограничений,44267,Германия,Все регионы,живая птица
44267.7953587963,ФС-АРэ-7/3713-3,Введение ограничений,44267,Германия,Все регионы,живая птица
44274.74038194444,ФС-АРэ-7/3724-3,Введение ограничений,44274,Германия,Все регионы,живая птица
44274.76996527778,ФС-АРэ-7/3725-3,Введение ограничений,44274,Франция,Все регионы,живая птица
44277.68443287037,ФС-АРэ-7/3726-3,Введение ограничений,44277,Нигер,Все регионы,живой птицы происходящей из Республики Нигер
44281.45113425926,ФС-АРэ-7/3737-3,Введение ограничений,44281,Малайзия,Все регионы,"домашних свиней и содержащихся в неволе диких свиней, происходящих с территории Малайзии"
44281.5171875,ФС-АРэ-7/3738-3,Введение ограничений,44281,Чешская Республика,Злинский,живая птица
44285.70255787037,ФС-АРэ-7/3745-3,Введение ограничений,44285,Пакистан,Все регионы,восприимчивых к ящуру живых животных
44285.70820601852,ФС-АРэ-7/3746-3,Введение ограничений,44285,Пакистан,Все регионы,"домашних овец и коз, диких восприимчивых к указанному заболеванию жвачных"
44286.50232638889,ФС-АРэ-7/3747-3,Введение ограничений,44286,Маврикий,Все регионы,восприимчивых к ящуру живых животных
44293.69717592592,ФС-АРэ-7/3758-3,Введение ограничений,44293,"Боливия, Многонациональное Государство",Все регионы,живая птица
44300.4871875,ФС-АРэ-7/3762-3,Отмена ограничений,44300,Венгрия,Все регионы,крупный и мелкий рогатый скот и восприимчивые к блютангу виды животных
44301.66370370371,ФС-АРэ-7/3771-3,Введение ограничений,44301,Таиланд,Все регионы,"крупный рогатый скот, а также восприимчивые к нодулярному дерматиту животные"
44308.71587962963,ФС-АРэ-7/3777-3,Введение ограничений,44308,Германия,Все регионы,живая птица
44309.87634259259,ФС-АРэ-7/3782-3,Введение ограничений,44309,Венгрия,Хайду-Бихар,живая птица и инкубационное яйцо
44309.8868287037,ФС-АРэ-7/3783-3,Введение ограничений,44309,Франция,Все регионы,живая птица
44312.71155092592,ФС-АРэ-7/3787-3,Введение ограничений,44312,Вьетнам,Все регионы,"крупный рогатый скот, а также восприимчивые к нодулярному дерматиту животные"
44322.40685185185,ФС-АРэ-7/3800-3,Введение ограничений,44322,Франция,Все регионы,живая птица
44329.49134259259,ФС-АРэ-7/3809-3,Введение ограничений,44329,Германия,Все регионы,живая птица
44329.70498842592,ФС-АРэ-7/3812-3,Введение ограничений,44329,Мали,Все регионы,живой птицы происходящей из Мали
44329.73435185185,ФС-АРэ-7/3808-3,Введение ограничений,44329,Австрия,Верхняя Австрия,живая птица
44356.46092592592,ФС-АРэ-7/3844-3,Введение ограничений,44356,Лесото,Все регионы,живой птицы происходящей из Лесото
44370.39759259259,ФС-АРэ-7/3867-3,Введение ограничений,44370,Албания,Все регионы,живая птица
44376.6766087963,ФС-АРэ-7/3872-3,Введение ограничений,44376,Ирак,Все регионы,живой птицы происходящей из Ирака
44376.67905092592,ФС-АРэ-7/3873-3,Введение ограничений,44376,Малайзия,Все регионы,"крупный рогатый скот, а также восприимчивые к нодулярному дерматиту животные"
44407.52239583333,ФС-АРэ-7/3891-3,Введение ограничений,44407,Израиль,Все регионы,"домашних овец и коз, диких восприимчивых к указанному заболеванию жвачных"
44407.52672453703,ФС-АРэ-7/3892-3,Введение ограничений,44407,Израиль,Все регионы,живой птицы
44407.59278935185,ФС-АРэ-7/3893-3,Введение ограничений,44407,Лаосская Народно-Демократическая Республика,Все регионы,"крупный рогатый скот, а также восприимчивые к нодулярному дерматиту животные"
44407.61215277778,ФС-АРэ-7/3894-3,Введение ограничений,44407,Камбоджа,Все регионы,"крупный рогатый скот, а также восприимчивые к нодулярному дерматиту животные"
44410.52155092593,ФС-АРэ-7/3896-3,Введение ограничений,44410,Того,Все регионы,живой птицы происходящей из Того
44410.68665509259,ФС-АРэ-7/3898-3,Введение ограничений,44410,Доминиканская республика,Все регионы,"домашних свиней и содержащихся в неволе диких свиней, происходящих с территории Доминиканской Республики"
44424.68240740741,ФС-АРэ-7/3914-3,Введение ограничений,44424,Непал,Все регионы,"крупный рогатый скот, а также восприимчивые к нодулярному дерматиту животные"
44438.63252314815,ФС-АРэ-7/3927-3,Введение ограничений,44438,Бенин,Все регионы,живой птицы происходящей из Бенина
44468.44385416667,ФС-АРэ-7/3967-3,Введение ограничений,44468,Замбия,Все регионы,восприимчивых к ящуру живых животных
44476.78366898148,ФС-АРэ-7/3992-3,Введение ограничений,44477,Казахстан,Все регионы,транзит живой птицы с упомянутой территории по территории России.
44482.49314814815,ФС-АРэ-7/3994-3,Введение ограничений,44483,Казахстан,Все регионы,транзит живой птицы с упомянутой территории по территории России.
44483.70887731481,ФС-АРэ-7/4004-3,Введение ограничений,44483,Объединенные Арабские Эмираты,Все регионы,восприимчивых к ящуру живых животных
44483.71116898148,ФС-АРэ-7/4005-3,Введение ограничений,44483,Объединенные Арабские Эмираты,Все регионы,"домашних овец и коз, диких восприимчивых к указанному заболеванию жвачных"
44483.72269675926,ФС-АРэ-7/4006-3,Введение ограничений,44483,Гана,Все регионы,живой птицы происходящей из Ганы
44488.63222222222,ФС-АРэ-7/4008-3,Введение ограничений,44488,Соединенное Королевство,Все регионы,Живой крупный рогатый скот;
44503.69150462963,ФС-АРэ-7/4035-3,Введение ограничений,44503,Швеция,Эребру,живой птицы
44519.39418981481,ФС-АРэ-7/4054-3,Введение ограничений,44520,Казахстан,Все регионы,транзит живой птицы с упомянутой территории по территории России..
44524.61103009259,ФС-АРэ-7/4071-3,Введение ограничений,44524,Норвегия,Все регионы,живая птица
44524.62336805555,ФС-АРэ-7/4072-3,Введение ограничений,44524,Италия,Венеция; Лацио; Ломбардия,живая птица
44530.70564814815,ФС-АРэ-7/4084-3,Введение ограничений,44531,Казахстан,Все регионы,транзит живой птицы с упомянутой территории по территории России.
44531.51053240741,ФС-АРэ-7/4085-3,Введение ограничений,44531,Австрия,Нижняя Австрия,живая птица
44531.5312037037,ФС-АРэ-7/4086-3,Введение ограничений,44531,Хорватия,Сисачко-Мославачка,живая птица
44533.63289351852,ФС-АРэ-7/4097-3,Введение ограничений,44533,Франция,Все регионы,живая птица
44536.69664351852,ФС-АРэ-7/4098-3,Введение ограничений,44536,Венгрия,Сабольч-Сатмар-Берег,живая птица
44537.40784722222,ФС-АРэ-7/4099-3,Введение ограничений,44533,Франция,Все регионы,живая птица
44540.618125,ФС-АРэ-7/4117-3,Введение ограничений,44540,Чешская Республика,Южно-Моравский; Либерецкий,живая птица
44546.43244212963,ФС-АРэ-7/4122-3,Введение ограничений,44546,Португалия,Все регионы,живая птица
44560.75347222222,ФС-АРэ-7/4184-3,Введение ограничений,44560,Словения,Все регионы,живая птица
44573.47915509259,ФС-АРэ-7/4190-3,Введение ограничений,44573,Палестина,Все регионы,восприимчивых к ящуру живых животных
44573.49030092593,ФС-АРэ-7/4188-3,Введение ограничений,44573,Казахстан,Все регионы,"живых животных, восприимчивых к ящуру, происходящих с территории Республики Казахстан"
44574.65835648148,ФС-АРэ-7/4192-3,Введение ограничений,44574,Чешская Республика,Устецкий,живая птица
44580.52982638889,ФС-АРэ-7/4195-3,Введение ограничений,44580,Иордания,Все регионы,восприимчивых к ящуру живых животных
44581.72144675926,ФС-АРэ-7/4197-3,Введение ограничений,44581,Таиланд,Все регионы,"домашних свиней и содержащихся в неволе диких свиней, происходящих с территории Таиланда"
44585.63219907408,ФС-АРэ-7/4203-3,Введение ограничений,44585,Хорватия,Осьечко-Бараньска,живая птица
44585.63314814815,ФС-АРэ-7/4205-3,Введение ограничений,44585,Хорватия,Осьечко-Бараньска,живая птица
44585.64689814814,ФС-АРэ-7/4204-3,Введение ограничений,44585,Испания,Кастилия-Леон,живая птица
44592.50255787037,ФС-АРэ-7/4223-3,Введение ограничений,44593,"Молдова, Республика",Все регионы,А также транзит с упомянутой территории по территории Российской Федерации следующей продукции:   	живая птица.
44600.760625,ФС-АРэ-7/4238-3,Введение ограничений,44600,Канада,Новая Шотландия; Ньюфаундленд и Лабрадор,живая птица
44603.65506944444,ФС-АРэ-7/4240-3,Введение ограничений,44603,Испания,Андалусия,живая птица
44610.56696759259,ФС-АРэ-7/4260-3,Отмена ограничений,44610,Германия,Нижняя Саксония,Без ограничений
44610.56925925926,ФС-АРэ-7/4261-3,Отмена ограничений,44610,Швеция,Сконе,Без ограничений
44610.57115740741,ФС-АРэ-7/4262-3,Отмена ограничений,44610,Венгрия,Комаром-Эстергом,Без ограничений
44610.57601851852,ФС-АРэ-7/4263-3,Введение ограничений,44610,Испания,Андалусия; Кастилия-Леон,живая птица
44610.73619212963,ФС-АРэ-7/4264-3,Введение ограничений,44610,Нидерланды,Гелдерланд,Без ограничений
44629.41719907407,ФС-АРэ-7/4289-3,Введение ограничений,44629,Соединенные Штаты Америки,Делавэр; Индиана; Кентукки,живая птица
44631.810625,ФС-АРэ-7/4305-3,Введение ограничений,44631,Франция,Нормандия; Центр — Долина Луары; Земли Луары,живая птица
44635.63313657408,ФС-АРэ-7/4319-3,Введение ограничений,44636,Соединенные Штаты Америки,Мэриленд; Южная Дакота; Айова; Миссури,живая птица
44635.76246527778,ФС-АРэ-7/4323-3,Введение ограничений,44635,Франция,Земли Луары,живая птица
44641.64082175926,ФС-АРэ-7/4341-3,Введение ограничений,44641,Пакистан,Все регионы,"крупный рогатый скот, а также восприимчивые к нодулярному дерматиту животные"
44642.42550925926,ФС-АРэ-7/4342-3,Введение ограничений,44642,Италия,Тоскана,живая птица
44642.74090277778,ФС-АРэ-7/4344-3,Введение ограничений,44642,Соединенные Штаты Америки,Висконсин,живая птица
44644.61695601852,ФС-АРэ-7/4348-3,Введение ограничений,44644,Франция,Бретань; Овернь — Рона — Альпы,Без ограничений
44649.56159722222,ФС-АРэ-7/4355-3,Введение ограничений,44649,Соединенные Штаты Америки,Канзас,живая птица
44649.58565972222,ФС-АРэ-7/4354-3,Отмена ограничений,44649,Германия,Гессен; Баден-Вюртемберг; Свободное государство Бавария,крупного и мелкого рогатого скота и восприимчивых видов животных
44649.58694444445,ФС-АРэ-7/4352-3,Отмена ограничений,44649,Венгрия,Хайду-Бихар,Без ограничений
44650.51443287037,ФС-АРэ-7/4363-3,Введение ограничений,44650,Филиппины,Все регионы,живой птицы
44651.68784722222,ФС-АРэ-7/4374-3,Введение ограничений,44651,Франция,Окситания; Бретань,живая птица
44652.65599537037,ФС-АРэ-7/4381-3,Введение ограничений,44652,Канада,Онтарио,живая птица
44657.4359375,ФС-АРэ-7/4395-3,Введение ограничений,44657,Соединенные Штаты Америки,Миннесота; Мэн; Небраска; Нью-Йорк,живая птица
44665.74618055556,ФС-АРэ-7/4420-3,Введение ограничений,44665,Соединенные Штаты Америки,Северная Дакота; Северная Каролина; Техас,живая птица
44666.48488425926,ФС-АРэ-7/4422-3,Введение ограничений,44666,Канада,Альберта,живая птица
44669.47711805555,ФС-АРэ-7/4429-3,Введение ограничений,44669,Франция,Бретань; Новая Аквитания,живая птица
44673.69418981481,ФС-АРэ-7/4437-3,Введение ограничений,44673,Франция,Новая Аквитания,живая птица
44676.58497685185,ФС-АРэ-7/4438-3,Введение ограничений,44676,Бутан,Все регионы,домашних свиней и содержащихся в неволе диких свиней
44676.61756944445,ФС-АРэ-7/4439-3,Введение ограничений,44676,Мозамбик,Все регионы,восприимчивых к ящуру живых животных
44676.68664351852,ФС-АРэ-7/4440-3,Введение ограничений,44676,Соединенные Штаты Америки,Колорадо; Монтана,живая птица
44679.73909722222,ФС-АРэ-7/4454-3,Введение ограничений,44679,Соединенные Штаты Америки,Мичиган; Пенсильвания; Айдахо,живая птица
44679.74840277778,ФС-АРэ-7/4455-3,Введение ограничений,44679,Канада,Квебек; Саскачеван; Британская Колумбия,живая птица
44693.73170138889,ФС-АРэ-7/4466-3,Введение ограничений,44693,Франция,Окситания; Новая Аквитания,живая птица
44697.5525462963,ФС-АРэ-7/4477-3,Введение ограничений,44697,Соединенные Штаты Америки,Юта,живая птица
44697.55307870371,ФС-АРэ-7/4478-3,Введение ограничений,44697,Канада,Нью-Брансуик; Манитоба,живая птица
44705.43798611111,ФС-АРэ-7/4486-3,Введение ограничений,44705,Колумбия,Все регионы,живая птица
44707.6358912037,ФС-АРэ-7/4498-3,Введение ограничений,44707,Непал,Все регионы,домашних свиней и содержащихся в неволе диких свиней
44708.68222222223,ФС-АРэ-7/4501-3,Отмена ограничений,44708,Франция,Земли Луары,Без ограничений
44712.64869212963,ФС-АРэ-7/4519-3,Введение ограничений,44712,Соединенные Штаты Америки,Вашингтон; Орегон; Оклахома; Нью-Джерси,живая птица
44713.71541666667,ФС-АРэ-7/4522-3,Введение ограничений,44713,Габон,Все регионы,живой птицы
44718.52667824074,ФС-АРэ-7/4530-3,Введение ограничений,44718,Алжир,Все регионы,восприимчивых к ящуру живых животных
44721.63458333333,ФС-АРэ-7/4541-3,Введение ограничений,44721,Гвинея,Все регионы,живой птицы
